source,country,lang,date,categories,wtp_signals,platform_sentiment,engagement,segment_hints,text_preview,url
appstore,korea,ko,2020-03-17,banking|community,,0.00,6,,저는 외국인인데요 한국에서 산지20년넘고 신랑도 한국국적이라 이렇게 좋고 편리한 카카오뱅크를 사용 못해서 아쉬워요 ... 모임이 많아서 모임통장 이용하고싶은데요 저만 모임에서 확인할수도 없고 외국이도 개설할수있게 만들어주세요 지금 3년 기달였는데 안되네요...기준을 찾으면 좋을것같아요 은행 거래 기간 아니면 외국인들은 사용하는 주거래 은행을 연결해서 모임통장 할수있는 뭐 이런거요...,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-03-13,,,0.00,4,,How am I going to use this app if I do not speak Korean?,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-03-07,,,0.50,9,,Not English version?,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2020-02-25,,,0.00,3,,"아니, western union 돈 받으려고 하는데 카카오뱅크 설치해가지고 외국인 등록이 안 된대요. 말이 돼요? 외국인들이 western union 제일 많이 쓰는데, 하필 외국인 안 되는거예요. 웃기네요 카톡이 진짜~ 노! 고맙소!~ 카톡패이도 안 쓸꺼예요~ 많이 파세요!",https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-01-16,,,0.00,3,,can I switch this to English?,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-01-10,,,0.25,13,,Why foreigners cannot use Kakao bank? I've used Kakao Talk for a long period of time and I really want to use Kakao Bank,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2020-01-02,,,1.00,0,,Convenient,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2019-12-26,,,1.00,0,,Best bank ever,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2019-12-24,,,0.00,4,,I can not update this.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2019-12-23,,,1.00,1,,fantastic easy to use,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2019-12-12,,,0.00,0,,외국인은 언제 사용 가능할까요?,https://play.google.com/store/apps/details?id=com.kakaobank.channel
